scientific_name,ott_name,closest_relative
Harpia harpyja,Harpia harpyja,Gyps fulvus
Gila orcuttii,Gila orcuttii,Cyprinus carpio
Eucyclogobius newberryi,Eucyclogobius newberryi,Amphiprion ocellaris
Corynorhinus townsendii,Corynorhinus townsendii,Rousettus aegyptiacus
Hemicordylus capensis,Hemicordylus capensis,Thamnophis sirtalis
Kogia breviceps,Kogia breviceps,Tursiops truncatus
Podargus strigoides,Podargus strigoides,Saxicola maurus
Monodelphis domestica,Monodelphis domestica,Monodelphis domestica
Neofelis nebulosa,Neofelis nebulosa,Panthera tigris
Odontesthes bonariensis,Odontesthes bonariensis,Poecilia reticulata
Emys orbicularis,Emys orbicularis,Saxicola maurus
Gastrophryne carolinensis,Gastrophryne carolinensis,Mus musculus
Microtus californicus,Microtus californicus,Mus musculus
Aphelocoma californica,Aphelocoma californica,Saxicola maurus
Rissa tridactyla,Rissa tridactyla,Larus marinus
Dendropsophus ebraccatus,Dendropsophus ebraccatus,Mus musculus
Cynocephalus volans,Cynocephalus volans,Chlorocebus sabaeus
Scomber japonicus,Scomber japonicus,Amphiprion ocellaris
Gypaetus barbatus,Gypaetus barbatus,Gyps fulvus
Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,Cyprinus carpio
Erethizon dorsatum,Erethizon dorsatum,Cavia aperea
Sorex araneus,Sorex araneus,Cervus nippon
Rhea pennata,Rhea pennata,Rhea pennata
Euleptes europaea,Euleptes europaea,Sphaerodactylus inigoi
Balaenoptera ricei,Balaenoptera ricei,Tursiops truncatus
Eschrichtius robustus,Eschrichtius robustus,Tursiops truncatus
Hyla sarda,Hyla sarda,Mus musculus
Lycodopsis pacificus,Lycodopsis pacificus,Pungitius pungitius
Pseudophryne corroboree,Pseudophryne corroboree,Mus musculus
Erythrolamprus reginae,Erythrolamprus reginae,Thamnophis sirtalis
Dasypus novemcinctus,Dasypus novemcinctus,Procavia capensis
Pseudopipra pipra,Pseudopipra pipra,Saxicola maurus
Liasis olivaceus,Liasis olivaceus,Thamnophis sirtalis
Hoplias malabaricus,Hoplias malabaricus,Cyprinus carpio
Hypanus sabinus,Hypanus sabinus,Mus musculus
Mobula birostris,Mobula birostris,Mus musculus
Eubalaena glacialis,Eubalaena glacialis,Tursiops truncatus
Trichomycterus rosablanca,Trichomycterus rosablanca,Cyprinus carpio
Loxodonta africana,Loxodonta africana,Procavia capensis
Manis pentadactyla,Manis pentadactyla,Neogale vison
Grus americana,Grus americana,Saxicola maurus
Inia geoffrensis,Inia geoffrensis,Tursiops truncatus
Ara ararauna,Ara ararauna,Ara glaucogularis
Heterohyrax brucei,Heterohyrax brucei,Procavia capensis
Dugong dugon,Dugong dugon,Procavia capensis
Colius striatus,Colius striatus,Bubo scandiacus
Hippopotamus amphibius kiboko,Hippopotamus amphibius kiboko,Tursiops truncatus
Chamaea fasciata,Chamaea fasciata,Cyanistes caeruleus
Pituophis catenifer annectens,Pituophis catenifer annectens,Thamnophis sirtalis
Mirounga angustirostris,Mirounga angustirostris,Arctocephalus gazella
Anniella stebbinsi,Anniella stebbinsi,Pogona vitticeps
Spea hammondii,Spea hammondii,Mus musculus
